comparison,delta,se,se_nb,t_p,t_p_nb,folds_won,n_folds,mean_VA
CORE=lstm (pooled over feature variants) - baseline,0.0534,0.0608,0.0912,0.4289,0.5892,4,5,0.6103
CORE=fc (pooled over feature variants) - baseline,0.0328,0.0482,0.0723,0.5334,0.6735,4,5,0.5896
CORE=attn (pooled over feature variants) - baseline,0.0119,0.0408,0.0612,0.7855,0.8556,4,5,0.5687
